month,mean,std
01,416.38104272889626,8.655659223883108
02,418.7468760893782,9.352885383529163
03,417.79477852921724,8.33445002471603
04,413.71246991159757,6.2491420763090675
05,413.96767749113167,6.441519911004432
06,416.21099494456746,6.498051368774985
07,417.10748526378586,6.335856401922137
08,419.61581463554523,7.664170216843573
09,420.42896127869363,6.472213349071563
10,421.49565203865814,9.27470631126254
11,421.23839157257,8.261370217945029
12,421.87090580919426,9.355640206664274
